ENTIDAD,TABLA,ESPERADO,ENCONTRADO,ESTADO
CARGO,CARGO,6000,6000,OK
CATEGORIAPRODUCTO,CATEGORIAPRODUCTO,6000,6000,OK
CLIENTE,CLIENTE,6000,6000,OK
COMPRA,COMPRA,6000,6000,OK
DETALLE_COMPRA,DETALLE_COMPRA,6000,6000,OK
EMPLEADO,EMPLEADO,6000,6000,OK
MARCA,MARCA,6000,6000,OK
METODOPAGO,METODOPAGO,6000,6000,OK
PRODUCTO,PRODUCTO,6000,6000,OK
PROVEEDOR,PROVEEDOR,6000,6000,OK
ROL,ROL,6000,6000,OK
USUARIOROL,USUARIOROL,6000,6000,OK
USUARIOSISTEMA,USUARIOSISTEMA,6000,6000,OK
VENTA,VENTA,6000,6000,OK
DETALLE_VENTA,DETALLE_VENTA,6000,6000,OK
